timestamp,position_lat,position_long,distance,heart_rate,altitude,speed,power,cadence
1060642783,-139076145,1991990642,1881.27,136,7,11.483,267,91
1060642784,-139074961,1991990221,1892.92,136,6.800000000000011,11.78,276,93
1060642785,-139073744,1991989786,1904.89,136,6.199999999999989,12.21,281,95
1060642786,-139072472,1991989336,1917.4,136,5.399999999999977,12.752,276,95
1060642787,-139071143,1991988885,1930.41,136,4.399999999999977,13.242,276,94
1060642788,-139069766,1991988418,1943.89,136,3.6000000000000227,13.665,271,93
1060642789,-139068348,1991987939,1957.77,136,2.8000000000000114,14.04,271,92
1060642790,-139066898,1991987434,1971.99,136,1.8000000000000114,14.391,276,93
1060642791,-139065461,1991986938,1986.08,136,1,14.707,271,93
1060642792,-139063943,1991986419,2000.95,136,0,15.008,271,92
1060642793,-139062391,1991985899,2016.12,136,-1,15.287,267,91
1060642794,-139060809,1991985381,2031.54,136,-2,15.546,271,93
1060642795,-139059200,1991984853,2047.23,136,-2.8000000000000114,15.791,281,94
1060642796,-139057569,1991984310,2063.16,136,-4,16.016,276,93
1060642797,-139055923,1991983746,2079.28,136,-5,16.222,276,94
1060642798,-139054256,1991983170,2095.61,136,-5.800000000000011,16.36,281,95
1060642799,-139052581,1991982615,2111.95,136,-6.199999999999989,16.299,281,96
1060642800,-139050915,1991982070,2128.18,136,-6.399999999999977,16.123,279,96
1060642801,-139049280,1991981511,2144.16,137,-6.199999999999989,15.83,298,96
1060642802,-139047686,1991980938,2159.84,137,-5.800000000000011,15.509,334,102
1060642803,-139046127,1991980359,2175.23,137,-5.600000000000023,15.271,334,102
1060642804,-139044575,1991979822,2190.43,137,-5.399999999999977,15.147,328,102
1060642805,-139043055,1991979222,2205.55,137,-5.399999999999977,15.071,334,100
1060642806,-139041547,1991978614,2220.59,137,-5.399999999999977,15.002,304,99
1060642807,-139040021,1991978078,2235.56,137,-5.399999999999977,14.918,316,101
1060642808,-139038497,1991977562,2250.46,137,-5.399999999999977,14.845,311,100
1060642809,-139036985,1991977040,2265.26,137,-5.399999999999977,14.772,316,98
1060642810,-139035488,1991976493,2280.02,137,-5.399999999999977,14.705,304,97
1060642811,-139034012,1991975916,2294.68,137,-5.399999999999977,14.635,311,99
1060642812,-139032528,1991975376,2309.3,138,-5.399999999999977,14.569,292,98
1060642813,-139031051,1991974844,2323.83,138,-5.399999999999977,14.496,292,97
1060642814,-139029576,1991974326,2338.31,137,-5.399999999999977,14.424,286,95
1060642815,-139028121,1991973780,2352.7,137,-5.399999999999977,14.304,292,97
1060642816,-139026690,1991973229,2366.88,137,-5.399999999999977,14.067,286,94
1060642817,-139025274,1991972709,2380.84,137,-5.399999999999977,13.841,292,95
1060642818,-139023878,1991972208,2394.57,137,-5.399999999999977,13.628,286,98
1060642819,-139022504,1991971706,2408.11,137,-5.399999999999977,13.431,304,95
1060642820,-139021151,1991971206,2421.46,136,-5.399999999999977,13.258,276,94
1060642821,-139019814,1991970715,2434.65,137,-5.399999999999977,13.12,271,94
1060642822,-139018476,1991970256,2447.73,137,-5.399999999999977,13.024,276,94
1060642823,-139017158,1991969773,2460.72,138,-5.399999999999977,12.965,276,94
1060642824,-139015863,1991969251,2473.64,138,-5.399999999999977,12.839,286,95
1060642825,-139014575,1991968752,2486.42,138,-5.399999999999977,12.696,281,95
1060642826,-139013306,1991968251,2499.05,138,-5.399999999999977,12.565,281,95
1060642827,-139012048,1991967754,2511.56,138,-5.399999999999977,12.448,281,96
1060642828,-139010802,1991967263,2523.96,138,-5.399999999999977,12.345,279,94
1060642829,-139009564,1991966776,2536.27,138,-5.399999999999977,12.254,281,94
1060642830,-139008330,1991966304,2548.49,138,-5.399999999999977,12.177,281,94
1060642831,-139007118,1991965803,2560.64,139,-5.399999999999977,12.114,286,96
1060642832,-139005921,1991965278,2572.74,140,-5.399999999999977,12.064,286,95
1060642833,-139004723,1991964767,2584.78,140,-5.399999999999977,12.034,292,96
1060642834,-139003538,1991964229,2596.81,140,-5.399999999999977,12.001,281,95
1060642835,-139002386,1991963633,2608.81,140,-5.399999999999977,11.968,286,96
1060642836,-139001271,1991962979,2620.76,140,-5.399999999999977,11.935,281,94
1060642837,-139000197,1991962263,2632.7,140,-5.399999999999977,11.916,286,96
1060642838,-138999319,1991961316,2644.63,140,-5.399999999999977,11.954,292,97
1060642839,-138998769,1991960136,2656.62,139,-5.399999999999977,12.004,292,95
1060642840,-138998608,1991958837,2668.66,139,-5.399999999999977,12.045,281,95
1060642841,-138998786,1991957534,2680.73,139,-5.399999999999977,12.085,286,96
1060642842,-138999172,1991956272,2692.85,139,-5.399999999999977,12.128,292,95
1060642843,-138999656,1991955040,2705,139,-5.399999999999977,12.171,292,96
1060642844,-139000181,1991953820,2717.2,139,-5.399999999999977,12.203,281,94
1060642845,-139000713,1991952598,2729.43,139,-5.399999999999977,12.236,286,95
1060642846,-139001223,1991951364,2741.68,139,-5.399999999999977,12.272,292,95
1060642847,-139001724,1991950121,2753.99,139,-5.399999999999977,12.303,286,95
1060642848,-139002224,1991948923,2765.9,139,-5.399999999999977,12.335,292,94
1060642849,-139002760,1991947690,2778.25,141,-5.399999999999977,12.356,276,95
1060642850,-139003323,1991946466,2790.62,141,-5.399999999999977,12.368,269,93
1060642851,-139003886,1991945239,2803.02,141,-5.399999999999977,12.394,286,93
1060642852,-139004454,1991944014,2815.42,141,-5.399999999999977,12.41,276,94
