timestamp,position_lat,position_long,distance,heart_rate,altitude,speed,power,cadence
1061591593,-139043491,1991904874,1378.21,124,0.6000000000000227,8.697,231,83
1061591594,-139043800,1991905776,1386.95,124,0.6000000000000227,8.769,235,82
1061591595,-139044111,1991906686,1395.78,124,0.6000000000000227,8.871,235,83
1061591596,-139044399,1991907614,1404.7,125,0.6000000000000227,8.955,231,82
1061591597,-139044666,1991908560,1413.72,125,0.6000000000000227,9.062,231,83
1061591598,-139044916,1991909523,1422.85,126,0.6000000000000227,9.158,226,82
1061591599,-139045144,1991910500,1432.05,126,0.6000000000000227,9.237,217,81
1061591600,-139045347,1991911493,1441.35,126,0.6000000000000227,9.332,222,81
1061591601,-139045522,1991912499,1450.72,126,0.6000000000000227,9.406,231,81
1061591602,-139045679,1991913519,1460.18,124,0.6000000000000227,9.491,226,81
1061591603,-139045819,1991914547,1469.69,124,0.6000000000000227,9.514,231,82
1061591604,-139045953,1991915579,1479.23,123,0.6000000000000227,9.534,222,81
1061591605,-139046075,1991916610,1488.74,121,0.6000000000000227,9.455,226,81
1061591606,-139046169,1991917631,1498.13,121,0.8000000000000114,9.325,226,80
1061591607,-139046233,1991918643,1507.42,121,1,9.253,222,81
1061591608,-139046271,1991919654,1516.69,121,1,9.303,222,81
1061591609,-139046296,1991920678,1526.08,122,0.8000000000000114,9.474,231,82
1061591610,-139046319,1991921725,1535.69,122,0.6000000000000227,9.713,226,81
1061591611,-139046336,1991922800,1545.54,122,0.39999999999997726,9.994,226,80
1061591612,-139046343,1991923910,1555.73,122,0.19999999999998863,10.355,226,81
1061591613,-139046349,1991925058,1566.26,122,-0.19999999999998863,10.691,226,83
1061591614,-139046362,1991926244,1577.14,122,-0.6000000000000227,11.024,231,83
1061591615,-139046380,1991927464,1588.33,122,-1,11.343,235,84
1061591616,-139046398,1991928720,1599.84,122,-1.3999999999999773,11.647,231,81
1061591617,-139046416,1991930003,1611.61,122,-1.8000000000000114,11.846,226,81
1061591618,-139046437,1991931306,1623.55,122,-2,12.031,231,82
1061591619,-139046455,1991932629,1635.68,122,-2.3999999999999773,12.191,226,83
1061591620,-139046470,1991933967,1647.95,124,-2.8000000000000114,12.337,222,82
1061591621,-139046477,1991935324,1660.39,124,-3.3999999999999773,12.507,226,83
1061591622,-139046488,1991936698,1672.98,124,-3.8000000000000114,12.643,235,84
1061591623,-139046504,1991938085,1685.69,124,-4.199999999999989,12.778,235,84
1061591624,-139046527,1991939488,1698.55,124,-4.600000000000023,12.899,226,83
1061591625,-139046545,1991940902,1711.51,124,-5,13.011,226,82
1061591626,-139046561,1991942329,1724.59,124,-5.399999999999977,13.118,231,84
1061591627,-139046561,1991943766,1737.75,124,-5.800000000000011,13.161,235,84
1061591628,-139046549,1991945201,1750.9,124,-6,13.123,231,82
1061591629,-139046545,1991946630,1763.98,124,-6,13.019,226,81
1061591630,-139046526,1991947996,1776.5,124,-6.199999999999989,12.859,231,83
1061591631,-139046401,1991949382,1789.26,124,-6,12.627,222,81
1061591632,-139046019,1991950687,1801.75,124,-6,12.372,222,82
1061591633,-139045305,1991951811,1814.03,124,-6,12.174,226,81
1061591634,-139044336,1991952687,1826.1,124,-5.800000000000011,11.98,222,81
1061591635,-139043178,1991953236,1837.99,124,-5.800000000000011,11.788,222,82
1061591636,-139041937,1991953476,1849.73,124,-5.600000000000023,11.667,217,80
1061591637,-139040686,1991953487,1861.34,124,-5.600000000000023,11.569,217,80
1061591638,-139039450,1991953351,1872.88,124,-5.600000000000023,11.495,222,80
1061591639,-139038232,1991953134,1884.35,124,-5.399999999999977,11.445,222,81
1061591640,-139037038,1991952827,1895.79,124,-5.399999999999977,11.412,235,86
1061591641,-139035865,1991952453,1907.19,122,-5.399999999999977,11.401,248,86
1061591642,-139034707,1991952033,1918.61,122,-5.399999999999977,11.401,240,85
1061591643,-139033561,1991951581,1930.01,122,-5.399999999999977,11.392,231,84
1061591644,-139032422,1991951118,1941.4,122,-5.399999999999977,11.381,235,83
1061591645,-139031283,1991950648,1952.8,122,-5.399999999999977,11.401,235,84
1061591646,-139030143,1991950174,1964.23,122,-5.399999999999977,11.43,240,85
1061591647,-139029006,1991949701,1975.63,122,-5.399999999999977,11.369,231,83
1061591648,-139027875,1991949227,1986.98,122,-5.399999999999977,11.312,235,84
1061591649,-139026747,1991948760,1998.28,122,-5.399999999999977,11.258,231,84
1061591650,-139025624,1991948303,2009.5,122,-5.399999999999977,11.166,235,84
1061591651,-139024508,1991947855,2020.62,122,-5.399999999999977,11.082,235,84
1061591652,-139023398,1991947417,2031.67,121,-5.399999999999977,10.999,226,83
1061591653,-139022293,1991946988,2042.64,121,-5.399999999999977,10.919,231,85
1061591654,-139021195,1991946564,2053.53,121,-5.399999999999977,10.895,235,82
1061591655,-139020096,1991946136,2064.46,120,-5.399999999999977,10.933,231,82
1061591656,-139018991,1991945711,2075.41,118,-5.399999999999977,10.973,235,82
1061591657,-139017880,1991945290,2086.42,118,-5.399999999999977,11.013,235,83
1061591658,-139016766,1991944863,2097.46,117,-5.399999999999977,11.052,235,82
1061591659,-139015651,1991944431,2108.54,117,-5.399999999999977,11.101,235,84
1061591660,-139014529,1991943996,2119.68,117,-5.399999999999977,11.15,231,82
1061591661,-139013415,1991943535,2130.84,117,-5.399999999999977,11.158,231,82
1061591662,-139012288,1991943103,2142.01,117,-5.399999999999977,11.158,240,83
1061591663,-139011163,1991942671,2153.16,117,-5.399999999999977,11.158,240,85
1061591664,-139010035,1991942242,2164.33,118,-5.399999999999977,11.162,244,83
1061591665,-139008909,1991941808,2175.51,119,-5.399999999999977,11.162,235,83
1061591666,-139007784,1991941377,2186.66,119,-5.399999999999977,11.127,235,84
1061591667,-139006610,1991941331,2197.76,119,-5.399999999999977,11.048,235,85
1061591668,-139005795,1991942165,2208.77,119,-5.399999999999977,10.977,235,84
1061591669,-139005372,1991943281,2219.73,120,-5.399999999999977,10.913,235,83
1061591670,-139004906,1991944371,2230.62,121,-5.399999999999977,10.851,235,84
1061591671,-139004416,1991945443,2241.44,121,-5.399999999999977,10.787,231,85
1061591672,-139003966,1991946527,2252.21,121,-5.399999999999977,10.737,240,83
1061591673,-139003509,1991947601,2262.92,121,-5.399999999999977,10.688,235,84
1061591674,-139003039,1991948665,2273.6,121,-5.399999999999977,10.642,235,83
1061591675,-139002565,1991949722,2284.23,120,-5.399999999999977,10.598,235,83
1061591676,-139002114,1991950783,2294.8,120,-5.399999999999977,10.557,235,83
1061591677,-139001684,1991951849,2305.35,120,-5.399999999999977,10.518,235,85
1061591678,-139001264,1991952913,2315.85,120,-5.399999999999977,10.474,226,82
1061591679,-139000827,1991953967,2326.32,122,-5.399999999999977,10.441,235,83
1061591680,-139000384,1991955014,2336.75,122,-5.399999999999977,10.411,235,85
1061591681,-138999948,1991956060,2347.15,122,-5.399999999999977,10.382,240,84
1061591682,-138999558,1991957122,2357.53,122,-5.399999999999977,10.36,240,84
1061591683,-138999278,1991958214,2367.88,122,-5.399999999999977,10.339,240,84
1061591684,-138999221,1991959338,2378.22,122,-5.399999999999977,10.32,248,87
1061591685,-138999477,1991960430,2388.54,123,-5.399999999999977,10.31,248,85
1061591686,-139000072,1991961329,2398.51,123,-5.399999999999977,10.3,235,85
1061591687,-139000925,1991962044,2408.8,123,-5.399999999999977,10.278,235,85
1061591688,-139001860,1991962645,2419.08,123,-5.399999999999977,10.259,244,84
1061591689,-139002818,1991963205,2429.34,124,-5.399999999999977,10.248,240,85
1061591690,-139003790,1991963736,2439.58,124,-5.399999999999977,10.234,240,85
1061591691,-139004781,1991964227,2449.82,124,-5.399999999999977,10.223,244,86
1061591692,-139005785,1991964686,2460.04,124,-5.399999999999977,10.217,252,88
1061591693,-139006795,1991965134,2470.27,124,-5.399999999999977,10.216,248,87
1061591694,-139007811,1991965565,2480.48,124,-5.399999999999977,10.212,244,86
1061591695,-139008831,1991965986,2490.7,124,-5.399999999999977,10.203,240,84
1061591696,-139009853,1991966401,2500.91,124,-5.399999999999977,10.193,235,85
1061591697,-139010875,1991966808,2511.1,124,-5.399999999999977,10.188,244,85
1061591698,-139011901,1991967211,2521.3,124,-5.399999999999977,10.197,235,85
1061591699,-139012926,1991967616,2531.51,125,-5.399999999999977,10.207,248,86
1061591700,-139013951,1991968025,2541.72,125,-5.399999999999977,10.218,257,91
1061591701,-139014977,1991968438,2551.96,125,-5.399999999999977,10.239,284,93
1061591702,-139016004,1991968852,2562.22,125,-5.399999999999977,10.268,279,94
1061591703,-139017036,1991969266,2572.51,125,-5.399999999999977,10.292,279,92
1061591704,-139018071,1991969677,2582.82,125,-5.399999999999977,10.312,275,93
1061591705,-139019110,1991970082,2593.14,125,-5.399999999999977,10.331,279,93
1061591706,-139020153,1991970484,2603.5,125,-5.399999999999977,10.348,275,93
1061591707,-139021196,1991970888,2613.85,126,-5.399999999999977,10.363,275,90
1061591708,-139022243,1991971289,2624.23,126,-5.399999999999977,10.374,271,91
1061591709,-139023289,1991971691,2634.61,126,-5.399999999999977,10.385,275,93
1061591710,-139024340,1991972088,2645.01,126,-5.399999999999977,10.399,279,94
1061591711,-139025393,1991972483,2655.43,126,-5.399999999999977,10.409,271,91
1061591712,-139026448,1991972873,2665.84,127,-5.399999999999977,10.418,275,92
1061591713,-139027504,1991973267,2676.28,126,-5.399999999999977,10.427,275,90
1061591714,-139028560,1991973658,2686.71,126,-5.399999999999977,10.437,275,91
1061591715,-139029623,1991974039,2697.16,128,-5.399999999999977,10.439,266,89
1061591716,-139030686,1991974417,2707.61,128,-5.399999999999977,10.436,262,88
1061591717,-139031748,1991974791,2718.04,128,-5.399999999999977,10.428,257,87
1061591718,-139032812,1991975165,2728.48,127,-5.399999999999977,10.436,279,93
1061591719,-139033874,1991975541,2738.92,127,-5.399999999999977,10.443,271,90
1061591720,-139034938,1991975918,2749.37,127,-5.399999999999977,10.426,244,85
1061591721,-139035998,1991976292,2759.78,126,-5.399999999999977,10.402,240,85
1061591722,-139037060,1991976659,2770.19,126,-5.399999999999977,10.382,244,85
1061591723,-139038120,1991977025,2780.56,126,-5.399999999999977,10.352,231,84
1061591724,-139039176,1991977388,2790.9,126,-5.399999999999977,10.327,235,84
1061591725,-139040227,1991977760,2801.23,126,-5.399999999999977,10.303,235,84
1061591726,-139041275,1991978133,2811.53,126,-5.399999999999977,10.281,235,82
1061591727,-139042320,1991978507,2821.8,126,-5.399999999999977,10.261,235,83
1061591728,-139043363,1991978881,2832.06,126,-5.399999999999977,10.237,231,84
